# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	41768
#@/user_id	Squirrelx_Macx
an zhuang qi 	安裝器	c=1 d=7.65616e-06 t=41768
an zhuo 	安卓	c=18 d=0.00630296 t=41768
an zhuo de 	安卓的	c=2 d=0.000315927 t=41768
an zu 	暗組	c=0 d=0.00281559 t=41768
an zu ang bao 	暗組昂包	c=1 d=0.028297 t=41768
android 	Android	c=1 d=0.433874 t=41768
ang 	昂	c=1 d=0.00281558 t=41768
ang zang 	骯髒	c=2 d=1.41626e-32 t=41768
ang zang de 	骯髒的	c=1 d=1 t=4852
ao 	奧	c=9 d=0.369723 t=41768
ao 	澳	c=1 d=4.24474e-08 t=41768
ao 	熬	c=1 d=4.22357e-08 t=41768
ao mi 	奧祕	c=2 d=4.77108e-24 t=41768
ao qi 	傲氣	c=1 d=1.62893e-05 t=41768
ao shang 	凹上	c=0 d=0.1 t=1405
ao si wei 	奧斯威	c=0 d=7.25385e-19 t=41768
ao te man 	奧特曼	c=15 d=3.00707 t=41768
ao ye 	熬夜	c=2 d=0.000308127 t=41768
ao ye de ren 	熬夜的人	c=1 d=1 t=2501
ao yi 	奧義	c=1 d=1.74313e-08 t=41768
ao yun hui 	奧運會	c=1 d=3.20691e-33 t=41768
ao zhou 	澳洲	c=1 d=5.4586e-06 t=41768
ao zhou qu 	澳洲區	c=1 d=5.05567e-06 t=41768
apple 	Apple	c=1 d=3.75503e-07 t=41768
ba 	吧	c=166 d=2.4128 t=41768
ba 	把	c=68 d=1.17545 t=41768
ba ba 	爸爸	c=6 d=0.355706 t=41768
ba cao 	拔草	c=1 d=1.78234e-05 t=41768
ba chi bu zhu 	把持不住	c=1 d=1.59581e-28 t=41768
ba dian 	八點	c=2 d=0.628135 t=41768
ba dian ban 	八點半	c=2 d=0.00263203 t=41768
ba diao 	拔掉	c=1 d=1 t=1520
ba er te 	巴爾特	c=2 d=1.98511 t=2572
ba fen bao 	八分飽	c=1 d=0.360595 t=41768
ba ge 	八個	c=2 d=9.10343e-05 t=41768
ba ge ren 	八哥儿	c=2 d=0.000841773 t=41768
ba gua 	八卦	c=3 d=2.49933e-12 t=41768
ba he 	巴赫	c=1 d=8.21269e-08 t=41768
ba jiu qian 	八九千	c=1 d=0.491644 t=41768
ba kong 	把控	c=1 d=8.26651e-26 t=41768
ba la la 	巴拉拉	c=3 d=8.21538e-06 t=41768
ba le 	拔了	c=1 d=1.63877e-17 t=41768
ba le 	罷了	c=8 d=0.066205 t=41768
ba luo ke 	巴洛克	c=23 d=0.0229424 t=41768
ba luo ke ren 	巴洛克人	c=1 d=3.98723e-07 t=41768
ba ma 	爸媽	c=9 d=0.325128 t=41768
ba ni 	把你	c=3 d=0.0293049 t=41768
ba ni de 	把你的	c=1 d=1 t=4703
ba ni men 	把你們	c=1 d=1 t=3457
ba qi 	霸氣	c=1 d=2.00992e-07 t=41768
ba shi 	八十	c=0 d=3.16852e-10 t=41768
ba shi jian 	把時間	c=1 d=0.353455 t=41768
ba shi kuai 	八十塊	c=1 d=3.18441e-09 t=41768
ba sui 	八歲	c=1 d=1.06495e-05 t=41768
ba ta 	把它	c=1 d=0.271173 t=41768
ba wo 	把握	c=1 d=1.22519e-07 t=41768
ba xia lai 	拔下來	c=1 d=0.00016826 t=41768
ba xiao shi 	八小時	c=1 d=0.000144823 t=41768
ba yue 	八月	c=0 d=0.0960789 t=41768
ba zhong 	八種	c=0 d=7.17312e-05 t=41768
ba zhu 	吧主	c=1 d=5.33953e-31 t=41768
ba zi ji 	把自己	c=1 d=1 t=3843
bai 	白	c=11 d=0.189196 t=41768
bai bai 	白白	c=1 d=2.33559e-09 t=41768
bai cai 	白菜	c=3 d=9.18289e-08 t=41768
bai cai jia 	白菜價	c=2 d=3.84153e-10 t=41768
bai chi 	白癡	c=1 d=7.52398e-07 t=41768
bai de 	白的	c=2 d=6.67317e-07 t=41768
bai de hao 	白的好	c=1 d=1.6169e-06 t=41768
bai du 	百度	c=17 d=1 t=41768
bai du bai ke 	百度百科	c=1 d=0.0185924 t=41768
bai du yun 	百度雲	c=16 d=1.74507 t=41768
bai fa 	白髮	c=2 d=0.0277554 t=41768
bai fen bai 	百分百	c=2 d=9.51553e-05 t=41768
bai fen zhi 	百分之	c=8 d=7.04929e-05 t=41768
bai fen zhi er shi 	百分之二十	c=1 d=7.04928e-05 t=41768
bai fu mei 	白富美	c=1 d=0.0280154 t=41768
bai guo 	白果	c=1 d=6.45923e-06 t=41768
bai hu 	白虎	c=1 d=0.00108628 t=41768
bai hua 	白化	c=1 d=0.251579 t=41768
bai hua 	白話	c=1 d=0.319819 t=41768
bai hua le 	白花了	c=1 d=4.93169e-08 t=41768
bai huo le 	白活了	c=1 d=4.62526e-18 t=41768
bai kan le 	白看了	c=1 d=8.87373e-07 t=41768
bai li tiao yi 	百裏挑一	c=1 d=7.71839e-13 t=41768
bai lian 	白蓮	c=1 d=0.179776 t=41768
bai mei gui 	白玫瑰	c=1 d=0.000116223 t=41768
bai ping guo 	白蘋果	c=3 d=1.00005 t=3086
bai ping heng 	白平衡	c=6 d=3.42386e-19 t=41768
bai se 	白色	c=4 d=0.0271874 t=41768
bai se de 	白色的	c=2 d=0.148919 t=41768
bai shi hui tong 	百世汇通	c=1 d=0.23457 t=41768
bai tian 	白天	c=2 d=4.08181e-18 t=41768
bai yuan 	百元	c=1 d=8.02792e-05 t=41768
bai zai 	擺在	c=1 d=1.85023e-33 t=41768
bai zi 	白字	c=1 d=2.49848e-08 t=41768
ban 	半	c=9 d=0.941765 t=41768
ban 	板	c=3 d=0.00337959 t=41768
ban 	版	c=12 d=0.708574 t=41768
ban 	班	c=3 d=0.0417941 t=41768
ban 	般	c=2 d=4.39743e-12 t=41768
ban 	辦	c=1 d=0.00350844 t=41768
ban bao 	半飽	c=2 d=0.0749948 t=41768
ban ben 	坂本	c=1 d=0.0214936 t=41768
ban ben 	版本	c=26 d=0.754208 t=41768
ban cun 	半寸	c=1 d=1.9999e-07 t=41768
ban dian 	斑點	c=1 d=7.63899e-09 t=41768
ban duan 	半段	c=1 d=7.61773e-35 t=41768
ban fa 	辦法	c=7 d=0.064894 t=41768
ban ge 	半個	c=2 d=0.000127806 t=41768
ban ge xiao shi 	半個小時	c=1 d=1.54949e-05 t=41768
ban gong 	辦公	c=3 d=4.16423e-18 t=41768
ban gong shi 	辦公室	c=2 d=1.0031e-07 t=41768
ban hui 	班會	c=1 d=1 t=2179
ban ji 	班級	c=2 d=0.0598756 t=41768
ban jia 	半價	c=2 d=0.0464212 t=41768
ban mian 	拌麪	c=5 d=0.00612645 t=41768
ban miao zhong 	半秒鐘	c=1 d=3.59408e-21 t=41768
ban nei 	班內	c=1 d=0.451581 t=41768
ban shang 	班上	c=1 d=0.000102566 t=41768
ban tian 	半天	c=2 d=0.0308074 t=41768
ban tou ming 	半透明	c=3 d=0.0915976 t=41768
ban wan 	半碗	c=1 d=0.0405589 t=41768
ban wei 	斑尾	c=1 d=0.0420036 t=41768
ban wei 	班委	c=1 d=0.0422141 t=41768
ban xing 	板型	c=1 d=5.27562e-07 t=41768
ban yan zhe 	扮演者	c=1 d=0.00546167 t=41768
ban ye 	半夜	c=3 d=0.0003207 t=41768
ban yun 	搬運	c=1 d=5.5988e-30 t=41768
ban zang 	半藏	c=3 d=5.14689e-07 t=41768
ban zhang 	班長	c=1 d=1.15761e-16 t=41768
ban zhuan 	搬磚	c=1 d=4.73912e-10 t=41768
bang 	幫	c=2 d=0.0415857 t=41768
bang 	棒	c=1 d=0.0188734 t=41768
bang 	邦	c=1 d=3.66294e-09 t=41768
bang ge mang 	幫個忙	c=1 d=0.125556 t=41768
bang le 	綁了	c=1 d=9.39973e-08 t=41768
bang ni 	幫你	c=3 d=0.950907 t=41768
bang shou 	幫手	c=1 d=0.0407622 t=41768
bang wo 	幫我	c=2 d=0.000120363 t=41768
bang zhu 	幫助	c=2 d=1.06369e-21 t=41768
bang zhu wo 	幫助我	c=1 d=8.20125e-21 t=41768
bao 	包	c=3 d=0.0759572 t=41768
bao 	堡	c=0 d=0.025924 t=41768
bao 	報	c=1 d=1.46707e-09 t=41768
bao 	寶	c=1 d=1.53857e-10 t=41768
bao 	爆	c=1 d=4.13923e-06 t=41768
bao bei 	寶貝	c=2 d=0.923116 t=41768
bao biao 	爆表	c=2 d=1.19289e-07 t=41768
bao chi 	保持	c=3 d=0.0148109 t=41768
bao chu lai 	爆出來	c=1 d=4.52504e-25 t=41768
bao cun 	保存	c=1 d=4.76125e-06 t=41768
bao cun wei 	保存爲	c=2 d=6.79272e-10 t=41768
